order_id,customer_id,city,state,pincode,correct_pincode,entered_address,corrected_address,correction_required,correction_type,correction_source,delivery_zone,address_accuracy_score,delivery_success,correction_timestamp,week_number,month,year
ORD000046,CUST01956,Ahmedabad,Gujarat,380001,380001,"8007, Shanti Marg, Vaishali Nagar, Ahmedabad","776, Shanti Marg, Vaishali Nagar, Ahmedabad",True,Incorrect House Number,GPS Verification,Zone C,64.84,True,2024-02-18 05:08:00,7,2,2024
ORD000047,CUST01473,Coimbatore,Tamil Nadu,641001,641001,"7, Park Nagar","7, Park Nagar, Banjara Hills, Coimbatore",True,Incomplete Address,Customer Feedback,Zone B,49.06,False,2024-01-06 08:41:00,1,1,2024
ORD000048,CUST00898,Mumbai,Maharashtra,400051,400051,"122, Blue Rd., Mansarovar, Mumbai","122, Blue Avenue, Mansarovar, Mumbai",True,Street Name Error,AI Model,Zone B,74.16,False,2024-07-07 19:14:00,27,7,2024
ORD000049,CUST01014,Chennai,Tamil Nadu,600020,600020,"466, Silver Nagar, Kalyani Nagar, Chennai","466, Silver Nagar, Kalyani Nagar, Chennai",False,None,None,Zone E,98.95,True,2024-12-06 06:48:00,49,12,2024
ORD000050,CUST00614,Surat,Gujarat,395001,395001,"539, Blue Colony, Koregaon Park, Surat","539, Blue Colony, Koregaon Park, Surat",True,Spelling Error,AI Model,Zone B,79.86,False,2024-04-13 18:34:00,15,4,2024
ORD000051,CUST00541,Bengaluru,Karnataka,560040,560040,"453, Green Valley Lane, Dwarka, Bengaluru","453, Green Valley Lane, Dwarka, Bengaluru",False,None,None,Zone E,93.87,True,2024-08-16 01:29:00,33,8,2024
ORD000052,CUST00893,Hyderabad,Telangana,500032,500032,"578, Sunrise Chowk, New Alipore, Hyderabad","578, Sunrise Chowk, New Alipore, Hyderabad",False,None,None,Zone E,91.7,True,2024-05-10 00:47:00,19,5,2024
ORD000053,CUST02646,Mumbai,Maharashtra,200069,400069,"434, Silver Street, Borivali, Mumbai","434, Silver Street, Borivali, Mumbai",True,Pincode Mismatch,AI Model,Zone D,38.61,True,2024-03-10 20:46:00,10,3,2024
ORD000054,CUST02982,Bengaluru,Karnataka,560100,560100,"460, Golden Nagar, T Nagar, Bengaluru","460, Golden Nagar, T Nagar, Bengaluru",True,Street Name Error,Customer Feedback,Zone B,58.56,False,2024-07-20 16:08:00,29,7,2024
ORD000055,CUST01130,Indore,Madhya Pradesh,452001,452001,"775, Sunrise Avenue, Andheri West, Indore","775, Sunrise Avenue, Andheri West, Indore",True,Street Name Error,GPS Verification,Zone B,66.38,True,2024-08-23 11:09:00,34,8,2024
ORD000056,CUST00200,Coimbatore,Tamil Nadu,641001,641001,"33, Golden Raod, Kothrud, Coimbatore","33, Golden Road, Kothrud, Coimbatore",True,Spelling Error,AI Model,Zone B,72.82,True,2024-12-10 22:55:00,50,12,2024
ORD000057,CUST02450,Kanpur,Uttar Pradesh,298001,208001,"412, Blue Lane, Borivali, Kanpur","412, Blue Lane, Borivali, Kanpur",True,Pincode Mismatch,Customer Feedback,Zone C,37.02,False,2024-10-21 10:36:00,43,10,2024
ORD000058,CUST01750,Delhi,Delhi,110020,110020,"898, Royal Lane","898, Royal Lane, Kondapur, Delhi",True,Incomplete Address,AI Model,Zone E,56.7,True,2024-03-30 20:43:00,13,3,2024
ORD000059,CUST00754,Chennai,Tamil Nadu,600020,600020,"996, Silver Nagar, Dadar, Chennai","996, Silver Nagar, Dadar, Chennai",False,None,None,Zone E,91.82,True,2024-03-17 09:24:00,11,3,2024
ORD000060,CUST03965,Chennai,Tamil Nadu,600020,600020,"870, Shanti Avenue, Banjara Hills, Chennai","870, Shanti Avenue, Banjara Hills, Chennai",False,None,None,Zone D,89.73,True,2024-01-30 17:26:00,5,1,2024
ORD000061,CUST03398,Kolkata,Odisha,700046,700046,"138, Golden Lane, Dwarka, Kolkata | State: Odisha","138, Golden Lane, Dwarka, Kolkata",True,Wrong City-State,AI Model,Zone B,57.67,False,2024-02-17 17:46:00,7,2,2024
ORD000062,CUST03839,Mumbai,Maharashtra,400051,400051,"387, Sunrise Street, Madhapur, Mumbai","387, Sunrise Street, Madhapur, Mumbai",True,Street Name Error,Postal Database,Zone B,61.27,False,2024-06-04 00:13:00,23,6,2024
ORD000063,CUST03177,Kanpur,Uttar Pradesh,208001,208001,"765, Blue Lane, Kothrud, Kanpur","765, Blue Lane, Kothrud, Kanpur",False,None,None,Zone C,96.45,True,2024-05-02 17:20:00,18,5,2024
ORD000064,CUST00833,Hyderabad,Telangana,500001,500001,"547, Silver Avenue, New Alipore, Hyderabad","547, Silver Avenue, New Alipore, Hyderabad",True,Street Name Error,Postal Database,Zone C,57.96,False,2024-08-28 10:58:00,35,8,2024
ORD000065,CUST01007,Bengaluru,Karnataka,560040,560040,"47, Shanti Marg, Park Street, Bengaluru","47, Shanti Marg, Park Street, Bengaluru",True,Street Name Error,Customer Feedback,Zone D,59.57,True,2024-07-13 18:53:00,28,7,2024
ORD000066,CUST03002,Kolkata,West Bengal,700046,700046,"967, Silver Avenue, Civil Lines, Kolkata","967, Silver Avenue, Civil Lines, Kolkata",False,None,None,Zone C,93.86,True,2024-09-08 14:10:00,36,9,2024
ORD000067,CUST03437,Nagpur,Maharashtra,440001,440001,"738, Blue Marg, Deccan, Nagpur","738, Blue Marg, Deccan, Nagpur",False,None,None,Zone A,94.51,True,2024-01-31 16:02:00,5,1,2024
ORD000068,CUST02613,Indore,Madhya Pradesh,452001,452001,"225, Royal Chowk, Behala, Bengaluru","50, Sunrise Nagar, Mansarovar, Indore",True,Duplicate Address,Manual Review,Zone E,55.27,True,2024-07-10 01:39:00,28,7,2024
ORD000069,CUST02058,Coimbatore,Tamil Nadu,641001,641001,"676, Blue Road, Connaught Place, Coimbatore","676, Blue Road, Connaught Place, Coimbatore",True,Street Name Error,AI Model,Zone D,55.5,False,2024-10-01 09:01:00,40,10,2024
ORD000070,CUST02315,Bhopal,Madhya Pradesh,462001,462001,"110, Green Valley Marg, Koramangala, Bhopal","110, Green Valley Marg, Koramangala, Bhopal",True,Street Name Error,Customer Feedback,Zone B,63.02,True,2024-07-10 12:29:00,28,7,2024
ORD000071,CUST02048,Lucknow,Uttar Pradesh,226001,226001,"7179, Green Valley Road, HSR Layout, Lucknow","308, Green Valley Road, HSR Layout, Lucknow",True,Incorrect House Number,GPS Verification,Zone D,69.28,True,2024-12-25 05:05:00,52,12,2024
ORD000072,CUST02696,Jaipur,Rajasthan,302001,302001,"580, Green Valley Road, Velachery, Jaipur (no landmark)","580, Green Valley Road, Velachery, Jaipur",True,Missing Landmark,Customer Feedback,Zone A,56.4,True,2024-05-23 17:36:00,21,5,2024
ORD000073,CUST02310,Nagpur,Maharashtra,440001,440001,"17, Shanti Marg, Anna Nagar, Nagpur","17, Shanti Marg, Anna Nagar, Nagpur",False,None,None,Zone B,96.55,True,2024-02-09 09:10:00,6,2,2024
ORD000074,CUST03991,Ahmedabad,Gujarat,380001,380001,"694, Silver Nagar, T Nagar, Ahmedabad","694, Silver Nagar, T Nagar, Ahmedabad",False,None,None,Zone C,89.68,False,2024-02-10 16:47:00,6,2,2024
ORD000075,CUST01458,Mumbai,Maharashtra,400051,400051,"6347, Shanti Street, Viman Nagar, Mumbai","448, Shanti Street, Viman Nagar, Mumbai",True,Incorrect House Number,AI Model,Zone E,74.02,True,2024-08-18 15:14:00,33,8,2024
ORD000076,CUST00632,Hyderabad,Telangana,500001,500001,"191, Golden Street, Behala, Hyderabad","191, Golden Street, Behala, Hyderabad",False,None,None,Zone D,91.54,True,2024-02-07 02:17:00,6,2,2024
ORD000077,CUST00358,Lucknow,Uttar Pradesh,226001,226001,"158, Golden Colony, Malviya Nagar, Lucknow","158, Golden Colony, Malviya Nagar, Lucknow",True,Spelling Error,AI Model,Zone B,83.29,True,2024-05-18 03:08:00,20,5,2024
ORD000078,CUST01196,Hyderabad,Andhra Pradesh,500032,500032,"571, Golden Street, Tollygunge, Hyderabad | State: Andhra Pradesh","571, Golden Street, Tollygunge, Hyderabad",True,Wrong City-State,GPS Verification,Zone D,32.79,False,2024-06-15 12:00:00,24,6,2024
ORD000079,CUST00260,Hyderabad,Telangana,500001,500001,"743, Shanti Marg, Koregaon Park, Hyderabad","743, Shanti Marg, Koregaon Park, Hyderabad",False,None,None,Zone B,90.03,True,2024-05-17 15:09:00,20,5,2024
ORD000080,CUST02526,Hyderabad,Telangana,500032,500032,"432, Park Chowk, Madhapur, Hyderabad","432, Park Chowk, Madhapur, Hyderabad",False,None,None,Zone B,92.33,True,2024-11-16 15:38:00,46,11,2024
ORD000081,CUST01764,Chennai,Tamil Nadu,600001,600001,"139, Park Road, Viman Nagar, Chennai","139, Park Road, Viman Nagar, Chennai",False,None,None,Zone E,91.99,True,2024-06-17 14:21:00,25,6,2024
ORD000082,CUST01541,Pune,Maharashtra,411014,411014,"6228, Shanti Chowk, Kondapur, Pune","329, Shanti Chowk, Kondapur, Pune",True,Incorrect House Number,Customer Feedback,Zone C,77.05,True,2024-10-21 07:20:00,43,10,2024
ORD000083,CUST03268,Indore,Madhya Pradesh,452001,452001,"374, Green Valley Lane, Salt Lake, Indore","374, Green Valley Lane, Salt Lake, Indore",True,Street Name Error,GPS Verification,Zone C,55.81,False,2024-12-28 06:28:00,52,12,2024
ORD000084,CUST01840,Indore,Madhya Pradesh,452001,452001,"71, Golden Chowk","71, Golden Chowk, Sanganer, Indore",True,Incomplete Address,Manual Review,Zone E,47.58,True,2024-08-04 12:04:00,31,8,2024
ORD000085,CUST03746,Chennai,Tamil Nadu,600020,600020,"411, Golden Road, Vastrapur, Chennai","411, Golden Road, Vastrapur, Chennai",False,None,None,Zone A,92.31,True,2024-10-01 19:40:00,40,10,2024
ORD000086,CUST03961,Pune,Maharashtra,411001,411001,"674, Silver Marg, Banjara Hills, Pune","674, Silver Marg, Banjara Hills, Pune",False,None,None,Zone C,88.53,False,2024-12-12 20:25:00,50,12,2024
ORD000087,CUST02050,Bhopal,Madhya Pradesh,462001,462001,"109, Sunrise Street, Behala, Bhopal","109, Sunrise Street, Behala, Bhopal",True,Street Name Error,Postal Database,Zone B,66.22,True,2024-12-13 18:44:00,50,12,2024
ORD000088,CUST01427,Bengaluru,Karnataka,560100,560100,"495, Green Valley Avenue, Bandra East, Bangalore","495, Green Valley Avenue, Bandra East, Bengaluru",True,Spelling Error,Manual Review,Zone D,65.45,True,2024-04-15 16:30:00,16,4,2024
ORD000089,CUST03034,Pune,Maharashtra,411003,411001,"740, Blue Colony, Tollygunge, Pune","740, Blue Colony, Tollygunge, Pune",True,Pincode Mismatch,AI Model,Zone B,55.48,False,2024-12-12 05:59:00,50,12,2024
ORD000090,CUST01771,Kolkata,West Bengal,700001,700001,"566, Royal Colony, Koramangala, Kolkata (no landmark)","566, Royal Colony, Koramangala, Kolkata",True,Missing Landmark,Manual Review,Zone D,78.93,True,2024-04-05 20:42:00,14,4,2024
ORD000091,CUST03275,Mumbai,Maharashtra,400001,400001,"1072, Shanti Chowk, Prahlad Nagar, Mumbai","905, Shanti Chowk, Prahlad Nagar, Mumbai",True,Incorrect House Number,Manual Review,Zone E,61.17,False,2024-02-02 18:06:00,5,2,2024
ORD000092,CUST02405,Nagpur,Maharashtra,440001,440001,"334, Shanti Chowk, Adyar, Nagpur (no landmark)","334, Shanti Chowk, Adyar, Nagpur",True,Missing Landmark,GPS Verification,Zone A,83.98,True,2024-07-17 19:25:00,29,7,2024
ORD000093,CUST02753,Bengaluru,Karnataka,560100,560100,"866, Blue Marg, OMR, Bengaluru","866, Blue Marg, OMR, Bengaluru",False,None,None,Zone B,96.47,True,2024-11-10 18:05:00,45,11,2024
ORD000094,CUST00761,Bengaluru,Karnataka,560040,560040,"245, Kothrud, Bengaluru","245, Park Street, Kothrud, Bengaluru",True,Missing Locality,GPS Verification,Zone D,51.65,True,2024-10-21 12:27:00,43,10,2024
ORD000095,CUST01985,Jaipur,Rajasthan,302001,302001,"711, Karol Bagh, Jaipur","711, Royal Marg, Karol Bagh, Jaipur",True,Missing Locality,Manual Review,Zone B,49.44,False,2024-01-28 11:00:00,4,1,2024
ORD000096,CUST02316,Delhi,Delhi,110001,110001,"987, Blue Nagar, T Nagar, Delhi","987, Blue Nagar, T Nagar, Delhi",False,None,None,Zone A,92.99,True,2024-09-07 05:05:00,36,9,2024
ORD000097,CUST00464,Bhopal,Madhya Pradesh,462001,462001,"300, Sunrise Avenue","300, Sunrise Avenue, HSR Layout, Bhopal",True,Incomplete Address,Manual Review,Zone E,63.42,True,2024-09-10 17:32:00,37,9,2024
ORD000098,CUST03400,Pune,Maharashtra,411001,411001,"794, Silver Road, Madhapur, Pune","794, Silver Road, Madhapur, Pune",False,None,None,Zone B,93.3,True,2024-08-05 03:47:00,32,8,2024
ORD000099,CUST03321,Bengaluru,Karnataka,560001,560001,"461, Park Colony, Borivali, Bengaluru","461, Park Colony, Borivali, Bengaluru",False,None,None,Zone E,89.04,True,2024-03-01 07:13:00,9,3,2024
ORD000100,CUST01326,Lucknow,Uttar Pradesh,226001,226001,"117, Green Valley Nagar, Connaught Place, Ahmedabad","882, Golden Marg, OMR, Lucknow",True,Duplicate Address,AI Model,Zone C,72.1,True,2024-11-01 17:10:00,44,11,2024
ORD000101,CUST02874,Bengaluru,Karnataka,560001,560001,"274, Green Valley Marg, Satellite, Bengaluru","274, Green Valley Marg, Satellite, Bengaluru",False,None,None,Zone B,97.43,True,2024-05-21 20:08:00,21,5,2024
ORD000102,CUST02572,Delhi,Delhi,110020,110020,"729, Silver Lane, Kalyani Nagar, Delhi","729, Silver Lane, Kalyani Nagar, Delhi",False,None,None,Zone D,96.11,True,2024-10-22 20:17:00,43,10,2024
ORD000103,CUST03171,Hyderabad,Telangana,500001,500001,"78, Green Valley Nagar","78, Green Valley Nagar, Tollygunge, Hyderabad",True,Incomplete Address,Customer Feedback,Zone A,53.64,True,2024-10-24 00:55:00,43,10,2024
ORD000104,CUST01323,Kanpur,Uttar Pradesh,208001,208001,"651, Silver Street, New Alipore, Kanpur","651, Silver Street, New Alipore, Kanpur",False,None,None,Zone C,92.77,True,2024-04-18 15:17:00,16,4,2024
ORD000105,CUST03211,Bengaluru,Karnataka,560040,560040,"592, Royal Chowk, Navrangpura, Bengaluru","592, Royal Chowk, Navrangpura, Bengaluru",False,None,None,Zone D,98.73,True,2024-01-24 03:40:00,4,1,2024
ORD000106,CUST01477,Mumbai,Maharashtra,400001,400001,"4314, Royal Chowk, Kothrud, Mumbai","952, Royal Chowk, Kothrud, Mumbai",True,Incorrect House Number,Manual Review,Zone C,81.46,True,2024-05-20 02:41:00,21,5,2024
ORD000107,CUST01954,Mumbai,Maharashtra,400069,400069,"681, Royal Road","681, Royal Road, Adyar, Mumbai",True,Incomplete Address,Manual Review,Zone A,52.88,True,2024-02-18 00:13:00,7,2,2024
ORD000108,CUST00938,Pune,Gujarat,411014,411014,"232, Blue Road, Vastrapur, Pune | State: Gujarat","232, Blue Road, Vastrapur, Pune",True,Wrong City-State,AI Model,Zone D,59.64,True,2024-03-08 15:04:00,10,3,2024
ORD000109,CUST00586,Mumbai,Maharashtra,400069,400069,"106, Silver Colony, Viman Nagar, Mumbai","106, Silver Colony, Viman Nagar, Mumbai",False,None,None,Zone A,89.65,True,2024-03-09 20:43:00,10,3,2024
ORD000110,CUST00412,Kolkata,West Bengal,700001,700001,"828, Blue Chowk, Prahlad Nagar, Hyderabad","9, Royal Chowk, Satellite, Kolkata",True,Duplicate Address,Postal Database,Zone B,73.48,True,2024-04-21 02:57:00,16,4,2024
ORD000111,CUST01017,Patna,Bihar,800001,800001,"604, Golden Colony, Kothrud, Patna","604, Golden Colony, Kothrud, Patna",False,None,None,Zone E,91.77,True,2024-05-21 20:05:00,21,5,2024
ORD000112,CUST00773,Ahmedabad,Gujarat,380059,380059,"739, Park Road, Bodakdev, Ahmedabad","739, Park Road, Bodakdev, Ahmedabad",False,None,None,Zone D,95.9,True,2024-09-22 19:32:00,38,9,2024
ORD000113,CUST01297,Bengaluru,Karnataka,560001,560001,"759, Sunrise Street, Kalyani Nagar, Coimbatore","56, Shanti Chowk, Civil Lines, Bengaluru",True,Duplicate Address,GPS Verification,Zone B,57.13,False,2024-01-07 11:59:00,1,1,2024
ORD000114,CUST00057,Hyderabad,Telangana,500001,500001,"431, Silver Marg, Satellite, Hyderabad","431, Silver Marg, Satellite, Hyderabad",False,None,None,Zone C,99.45,True,2024-01-09 18:04:00,2,1,2024
ORD000115,CUST00626,Delhi,Delhi,110001,110001,"945, Sunrise Rd., Borivali, Delhi","945, Sunrise Nagar, Borivali, Delhi",True,Street Name Error,Postal Database,Zone C,76.05,True,2024-10-01 17:39:00,40,10,2024
